series	run	learning_rate	wer_percent	best_avg_logprob_wer_percent	eval_name	path	eval_path
ATC 75% train -> ATCOSIM test	lr2e-5_b10_b20p9999_clip1_frz8	2e-05	23.6595707093013	23.6595707093013	atcosim_test	/home/vol/src/plu/egs/atc/exp/20260614_101922_atc_subsample_75pct_lr8_validation/lr2e-5_b10_b20p9999_clip1_frz8	/home/vol/src/plu/egs/atc/exp/20260614_101922_atc_subsample_75pct_lr8_atcosim_test/lr2e-5_b10_b20p9999_clip1_frz8.atcosim_test
ATC 75% train -> ATCOSIM test	lr3e-5_b10_b20p9999_clip1_frz8	3e-05	26.442010423107497	26.442010423107497	atcosim_test	/home/vol/src/plu/egs/atc/exp/20260614_101922_atc_subsample_75pct_lr8_validation/lr3e-5_b10_b20p9999_clip1_frz8	/home/vol/src/plu/egs/atc/exp/20260614_101922_atc_subsample_75pct_lr8_atcosim_test/lr3e-5_b10_b20p9999_clip1_frz8.atcosim_test
ATC aug4 train -> ATC test	lr1e-7_b10_b20p9999_clip1_frz8	1e-07	72.47943595769682	72.47943595769682	atc_test	/home/vol/src/plu/egs/atc/exp/20260613_000915_atc_aug4_lr15_validation/lr1e-7_b10_b20p9999_clip1_frz8	/home/vol/src/plu/egs/atc/exp/20260613_000915_atc_aug4_lr15_atc_test/lr1e-7_b10_b20p9999_clip1_frz8.atc_test
ATC aug4 train -> ATC test	lr2e-7_b10_b20p9999_clip1_frz8	2e-07	60.59929494712103	60.59929494712103	atc_test	/home/vol/src/plu/egs/atc/exp/20260613_000915_atc_aug4_lr15_validation/lr2e-7_b10_b20p9999_clip1_frz8	/home/vol/src/plu/egs/atc/exp/20260613_000915_atc_aug4_lr15_atc_test/lr2e-7_b10_b20p9999_clip1_frz8.atc_test
ATC aug4 train -> ATC test	lr3e-7_b10_b20p9999_clip1_frz8	3e-07	43.31374853113984	43.31374853113984	atc_test	/home/vol/src/plu/egs/atc/exp/20260613_000915_atc_aug4_lr15_validation/lr3e-7_b10_b20p9999_clip1_frz8	/home/vol/src/plu/egs/atc/exp/20260613_000915_atc_aug4_lr15_atc_test/lr3e-7_b10_b20p9999_clip1_frz8.atc_test
ATC aug4 train -> ATC test	lr5e-7_b10_b20p9999_clip1_frz8	5e-07	26.956521739130434	26.956521739130434	atc_test	/home/vol/src/plu/egs/atc/exp/20260613_000915_atc_aug4_lr15_validation/lr5e-7_b10_b20p9999_clip1_frz8	/home/vol/src/plu/egs/atc/exp/20260613_000915_atc_aug4_lr15_atc_test/lr5e-7_b10_b20p9999_clip1_frz8.atc_test
ATC aug4 train -> ATC test	lr7e-7_b10_b20p9999_clip1_frz8	7e-07	19.60047003525264	19.60047003525264	atc_test	/home/vol/src/plu/egs/atc/exp/20260613_000915_atc_aug4_lr15_validation/lr7e-7_b10_b20p9999_clip1_frz8	/home/vol/src/plu/egs/atc/exp/20260613_000915_atc_aug4_lr15_atc_test/lr7e-7_b10_b20p9999_clip1_frz8.atc_test
ATC aug4 train -> ATC test	lr1e-6_b10_b20p9999_clip1_frz8	1e-06	14.676850763807286	14.676850763807286	atc_test	/home/vol/src/plu/egs/atc/exp/20260613_000915_atc_aug4_lr15_validation/lr1e-6_b10_b20p9999_clip1_frz8	/home/vol/src/plu/egs/atc/exp/20260613_000915_atc_aug4_lr15_atc_test/lr1e-6_b10_b20p9999_clip1_frz8.atc_test
ATC aug4 train -> ATC test	lr1p5e-6_b10_b20p9999_clip1_frz8	1.5e-06	10.928319623971799	10.928319623971799	atc_test	/home/vol/src/plu/egs/atc/exp/20260613_000915_atc_aug4_lr15_validation/lr1p5e-6_b10_b20p9999_clip1_frz8	/home/vol/src/plu/egs/atc/exp/20260613_000915_atc_aug4_lr15_atc_test/lr1p5e-6_b10_b20p9999_clip1_frz8.atc_test
ATC aug4 train -> ATC test	lr2e-6_b10_b20p9999_clip1_frz8	2e-06	9.424206815511162	9.424206815511162	atc_test	/home/vol/src/plu/egs/atc/exp/20260613_000915_atc_aug4_lr15_validation/lr2e-6_b10_b20p9999_clip1_frz8	/home/vol/src/plu/egs/atc/exp/20260613_000915_atc_aug4_lr15_atc_test/lr2e-6_b10_b20p9999_clip1_frz8.atc_test
ATC aug4 train -> ATC test	lr3e-6_b10_b20p9999_clip1_frz8	3e-06	8.155111633372503	8.155111633372503	atc_test	/home/vol/src/plu/egs/atc/exp/20260613_000915_atc_aug4_lr15_validation/lr3e-6_b10_b20p9999_clip1_frz8	/home/vol/src/plu/egs/atc/exp/20260613_000915_atc_aug4_lr15_atc_test/lr3e-6_b10_b20p9999_clip1_frz8.atc_test
ATC aug4 train -> ATC test	lr4e-6_b10_b20p9999_clip1_frz8	4e-06	7.097532314923619	7.097532314923619	atc_test	/home/vol/src/plu/egs/atc/exp/20260613_000915_atc_aug4_lr15_validation/lr4e-6_b10_b20p9999_clip1_frz8	/home/vol/src/plu/egs/atc/exp/20260613_000915_atc_aug4_lr15_atc_test/lr4e-6_b10_b20p9999_clip1_frz8.atc_test
ATC aug4 train -> ATC test	lr5e-6_b10_b20p9999_clip1_frz8	5e-06	6.780258519388954	6.780258519388954	atc_test	/home/vol/src/plu/egs/atc/exp/20260613_000915_atc_aug4_lr15_validation/lr5e-6_b10_b20p9999_clip1_frz8	/home/vol/src/plu/egs/atc/exp/20260613_000915_atc_aug4_lr15_atc_test/lr5e-6_b10_b20p9999_clip1_frz8.atc_test
